타가아, 77, 165
마하타, 66, 168
바하아, 88, 168
타가자, 64, 170
사자카, 93, 156
마타가, 93, 178
아가차, 67, 197
라바라, 93, 163
카파카, 65, 170
자사가, 83, 174
라카타, 91, 181
아다하, 57, 155
다아나, 91, 188
타다가, 90, 161
가파나, 73, 191
자아라, 70, 167
다타아, 89, 184
다마자, 51, 164
나하라, 59, 155
카자카, 70, 199
다차나, 64, 183
나자하, 99, 159
파마차, 70, 167
다하사, 96, 175
차라바, 67, 170
차라가, 68, 176
라자아, 98, 173
가나다, 87, 165
카라하, 65, 170
바카가, 59, 168
하가타, 53, 195
자차아, 58, 187
아타자, 69, 177
나사사, 71, 164
하사마, 70, 153
아다마, 69, 191
라가자, 50, 196
가자자, 75, 188
차카타, 84, 153
나라가, 84, 176
마차차, 61, 198
다카카, 75, 151
다나자, 76, 163
하카나, 53, 190
하다다, 99, 155
타하가, 62, 152
차타타, 72, 190
가다바, 87, 166
아파하, 93, 173
타카아, 92, 168
라하가, 90, 151
카가라, 56, 155
바가다, 90, 159
타자하, 52, 199
바하차, 67, 161
차바가, 60, 157
타아차, 91, 198
가아마, 90, 188
하가자, 59, 170
차하하, 95, 181
자나가, 72, 182
나파라, 87, 194
타라바, 64, 196
자사가, 93, 176
아나사, 79, 190
마하사, 94, 150
나카마, 68, 191
하파다, 95, 158
차다사, 59, 168
마카다, 82, 193
카타타, 70, 165
타파다, 64, 189
다마다, 70, 196
파나카, 72, 182
타카나, 57, 153
타카마, 56, 189
파하아, 57, 186
바다바, 85, 198
가타타, 54, 162
나차사, 68, 182
사카타, 98, 150
차가바, 64, 198
자다사, 59, 198
바라카, 98, 150
다타타, 97, 159
마사다, 76, 178
가라카, 52, 169
마가자, 97, 154
파마라, 59, 179
나하차, 77, 162
마다라, 99, 163
바차타, 73, 151
사아아, 75, 152
하하차, 96, 170
다타가, 81, 199
카타나, 58, 161
라하마, 84, 187
자사가, 95, 193
타카다, 54, 175
바타하, 86, 195
하나카, 59, 168
자아파, 81, 183
사차다, 68, 154
파가아, 57, 158
다사마, 98, 169
타아라, 82, 169
